run_id,scenario_id,variant_id,scheduler_name,seed,metric,dimension,value,unit
core-bursty-edgeweaver-seed-1,bursty,edgeweaver,edgeweaver,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-1,bursty,edgeweaver,edgeweaver,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-1,bursty,edgeweaver,edgeweaver,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-2,bursty,edgeweaver,edgeweaver,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-2,bursty,edgeweaver,edgeweaver,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-2,bursty,edgeweaver,edgeweaver,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-3,bursty,edgeweaver,edgeweaver,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-3,bursty,edgeweaver,edgeweaver,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-3,bursty,edgeweaver,edgeweaver,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-4,bursty,edgeweaver,edgeweaver,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-4,bursty,edgeweaver,edgeweaver,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-4,bursty,edgeweaver,edgeweaver,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-5,bursty,edgeweaver,edgeweaver,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-5,bursty,edgeweaver,edgeweaver,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-edgeweaver-seed-5,bursty,edgeweaver,edgeweaver,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-1,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-1,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-1,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-2,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-2,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-2,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-3,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-3,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-3,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-4,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-4,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-4,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-5,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-5,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-bursty-edgeweaver_no_model_switching-seed-5,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-1,bursty,fastest_device,fastest_device,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-1,bursty,fastest_device,fastest_device,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-1,bursty,fastest_device,fastest_device,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-2,bursty,fastest_device,fastest_device,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-2,bursty,fastest_device,fastest_device,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-2,bursty,fastest_device,fastest_device,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-3,bursty,fastest_device,fastest_device,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-3,bursty,fastest_device,fastest_device,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-3,bursty,fastest_device,fastest_device,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-4,bursty,fastest_device,fastest_device,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-4,bursty,fastest_device,fastest_device,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-4,bursty,fastest_device,fastest_device,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-5,bursty,fastest_device,fastest_device,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-5,bursty,fastest_device,fastest_device,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-fastest_device-seed-5,bursty,fastest_device,fastest_device,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-1,bursty,min_completion,min_completion,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-min_completion-seed-1,bursty,min_completion,min_completion,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-1,bursty,min_completion,min_completion,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-2,bursty,min_completion,min_completion,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-min_completion-seed-2,bursty,min_completion,min_completion,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-2,bursty,min_completion,min_completion,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-3,bursty,min_completion,min_completion,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-min_completion-seed-3,bursty,min_completion,min_completion,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-3,bursty,min_completion,min_completion,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-4,bursty,min_completion,min_completion,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-min_completion-seed-4,bursty,min_completion,min_completion,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-4,bursty,min_completion,min_completion,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-5,bursty,min_completion,min_completion,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-min_completion-seed-5,bursty,min_completion,min_completion,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-min_completion-seed-5,bursty,min_completion,min_completion,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-1,bursty,round_robin,round_robin,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-round_robin-seed-1,bursty,round_robin,round_robin,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-1,bursty,round_robin,round_robin,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-2,bursty,round_robin,round_robin,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-round_robin-seed-2,bursty,round_robin,round_robin,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-2,bursty,round_robin,round_robin,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-3,bursty,round_robin,round_robin,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-round_robin-seed-3,bursty,round_robin,round_robin,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-3,bursty,round_robin,round_robin,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-4,bursty,round_robin,round_robin,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-round_robin-seed-4,bursty,round_robin,round_robin,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-4,bursty,round_robin,round_robin,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-5,bursty,round_robin,round_robin,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-bursty-round_robin-seed-5,bursty,round_robin,round_robin,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-bursty-round_robin-seed-5,bursty,round_robin,round_robin,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-1,device_slowdown,edgeweaver,edgeweaver,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-1,device_slowdown,edgeweaver,edgeweaver,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-1,device_slowdown,edgeweaver,edgeweaver,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-2,device_slowdown,edgeweaver,edgeweaver,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-2,device_slowdown,edgeweaver,edgeweaver,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-2,device_slowdown,edgeweaver,edgeweaver,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-3,device_slowdown,edgeweaver,edgeweaver,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-3,device_slowdown,edgeweaver,edgeweaver,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-3,device_slowdown,edgeweaver,edgeweaver,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-4,device_slowdown,edgeweaver,edgeweaver,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-4,device_slowdown,edgeweaver,edgeweaver,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-4,device_slowdown,edgeweaver,edgeweaver,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-5,device_slowdown,edgeweaver,edgeweaver,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-5,device_slowdown,edgeweaver,edgeweaver,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-edgeweaver-seed-5,device_slowdown,edgeweaver,edgeweaver,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-1,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-1,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-1,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-2,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-2,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-2,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-3,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-3,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-3,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-4,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-4,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-4,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-5,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-5,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
ablation-device_slowdown-edgeweaver_no_online_update-seed-5,device_slowdown,edgeweaver_no_online_update,edgeweaver_no_online_update,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-1,device_slowdown,fastest_device,fastest_device,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-1,device_slowdown,fastest_device,fastest_device,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-1,device_slowdown,fastest_device,fastest_device,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-2,device_slowdown,fastest_device,fastest_device,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-2,device_slowdown,fastest_device,fastest_device,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-2,device_slowdown,fastest_device,fastest_device,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-3,device_slowdown,fastest_device,fastest_device,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-3,device_slowdown,fastest_device,fastest_device,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-3,device_slowdown,fastest_device,fastest_device,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-4,device_slowdown,fastest_device,fastest_device,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-4,device_slowdown,fastest_device,fastest_device,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-4,device_slowdown,fastest_device,fastest_device,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-5,device_slowdown,fastest_device,fastest_device,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-5,device_slowdown,fastest_device,fastest_device,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-fastest_device-seed-5,device_slowdown,fastest_device,fastest_device,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-1,device_slowdown,min_completion,min_completion,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-1,device_slowdown,min_completion,min_completion,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-1,device_slowdown,min_completion,min_completion,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-2,device_slowdown,min_completion,min_completion,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-2,device_slowdown,min_completion,min_completion,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-2,device_slowdown,min_completion,min_completion,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-3,device_slowdown,min_completion,min_completion,3,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-3,device_slowdown,min_completion,min_completion,3,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-3,device_slowdown,min_completion,min_completion,3,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-4,device_slowdown,min_completion,min_completion,4,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-4,device_slowdown,min_completion,min_completion,4,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-4,device_slowdown,min_completion,min_completion,4,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-5,device_slowdown,min_completion,min_completion,5,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-5,device_slowdown,min_completion,min_completion,5,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-min_completion-seed-5,device_slowdown,min_completion,min_completion,5,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-1,device_slowdown,round_robin,round_robin,1,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-1,device_slowdown,round_robin,round_robin,1,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-1,device_slowdown,round_robin,round_robin,1,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-2,device_slowdown,round_robin,round_robin,2,model_selection_percentage,logistic-regression-v1,100.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-2,device_slowdown,round_robin,round_robin,2,model_selection_percentage,mlp-v1,0.0,percent_of_assigned_requests
core-device_slowdown-round_robin-seed-2,device_slowdown,round_robin,round_robin,2,model_selection_percentage,random-forest-v1,0.0,percent_of_assigned_requests
