run_id,scenario_id,variant_id,scheduler_name,seed,trace_id,trace_sha256,total_requests,completed_requests,rejected_requests,deadline_satisfaction_rate,useful_goodput_requests_per_second,mean_end_to_end_latency_ms,p95_end_to_end_latency_ms,actual_prediction_accuracy,estimated_energy_per_completed_request_units
core-bursty-edgeweaver-seed-1,bursty,edgeweaver,edgeweaver,1,bursty-seed-1,3b38ed07a58daffa812d0e087fade7389a0430b46bf5fb7fc7b5c13b05e9123c,95,95,0,1.0,4.4,0.6168081548173177,0.6150155000000268,0.9263157894736842,0.6150155
core-bursty-edgeweaver-seed-2,bursty,edgeweaver,edgeweaver,2,bursty-seed-2,d91af0ff1e9e79435cf8e13838b60e5aeb6fab3a40edabbc4128ef54ed8478dd,98,98,0,1.0,4.85,0.6169955249279103,0.6150155000000268,0.9897959183673469,0.6150155
core-bursty-edgeweaver-seed-3,bursty,edgeweaver,edgeweaver,3,bursty-seed-3,b19ec7e18ab04d4a1c7a776edadb9bc1be505341f7d113a767ff51e59ed15b1f,90,90,0,1.0,4.45,0.6205993326439306,0.6150155000000268,0.9888888888888889,0.6150155
core-bursty-edgeweaver-seed-4,bursty,edgeweaver,edgeweaver,4,bursty-seed-4,c8e4dec737a205ea5231f02fe03d4e2a304c81531bed3e4fcfc7a9167ab0f171,96,96,0,1.0,4.7,0.6150154999996573,0.6150155000000268,0.9791666666666666,0.6150155
core-bursty-edgeweaver-seed-5,bursty,edgeweaver,edgeweaver,5,bursty-seed-5,177ac64d3c57f4677418197056fbcb96f8109964f61f126235b617eef05df15d,95,95,0,1.0,4.45,0.6266057835792038,0.6150155000000268,0.9368421052631579,0.6150155
ablation-bursty-edgeweaver_no_model_switching-seed-1,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,1,bursty-seed-1,3b38ed07a58daffa812d0e087fade7389a0430b46bf5fb7fc7b5c13b05e9123c,95,95,0,1.0,4.4,0.6168081548173177,0.6150155000000268,0.9263157894736842,0.6150155
ablation-bursty-edgeweaver_no_model_switching-seed-2,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,2,bursty-seed-2,d91af0ff1e9e79435cf8e13838b60e5aeb6fab3a40edabbc4128ef54ed8478dd,98,98,0,1.0,4.85,0.6169955249279103,0.6150155000000268,0.9897959183673469,0.6150155
ablation-bursty-edgeweaver_no_model_switching-seed-3,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,3,bursty-seed-3,b19ec7e18ab04d4a1c7a776edadb9bc1be505341f7d113a767ff51e59ed15b1f,90,90,0,1.0,4.45,0.6205993326439306,0.6150155000000268,0.9888888888888889,0.6150155
ablation-bursty-edgeweaver_no_model_switching-seed-4,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,4,bursty-seed-4,c8e4dec737a205ea5231f02fe03d4e2a304c81531bed3e4fcfc7a9167ab0f171,96,96,0,1.0,4.7,0.6150154999996573,0.6150155000000268,0.9791666666666666,0.6150155
ablation-bursty-edgeweaver_no_model_switching-seed-5,bursty,edgeweaver_no_model_switching,edgeweaver_no_model_switching,5,bursty-seed-5,177ac64d3c57f4677418197056fbcb96f8109964f61f126235b617eef05df15d,95,95,0,1.0,4.45,0.6266057835792038,0.6150155000000268,0.9368421052631579,0.6150155
